id, version, round, trial, timestamp, game_timestamp, mouse_x, mouse_y, color, position, animation_duration, rt_start_timestamp, rt_end_timestamp, rt, hit
9770, BL, 0, 1, 10:56:45.950, 10.68766, -2.528, 0.017, Red, Left, 2, 9.987603, 10.68766, 0.700057, 1
9770, BL, 0, 2, 10:56:48.247, 13.00129, 2.483, 0.035, Red, Right, 2, 12.36797, 13.00129, 0.6333179, 1
9770, BL, 0, 3, 10:56:50.630, 15.38546, 2.682, 0.131, Red, Right, 2, 14.7024, 15.38546, 0.6830502, 1
9770, BL, 0, 4, 10:56:52.913, 17.66922, -2.429, 0.035, Red, Left, 2, 16.98529, 17.66922, 0.6839237, 1
9770, BL, 0, 5, 10:56:55.364, 20.11859, -0.084, -2.591, Blue, Bottom, 0.4, 19.35213, 20.11859, 0.7664604, 1
9770, BL, 0, 6, 10:57:00.220, 24.976, 0.152, -2.510, Red, Bottom, 2, 24.07628, 24.976, 0.8997116, 1
9770, BL, 0, 7, 10:57:02.573, 27.32772, 0.042, 2.736, Blue, Top, 0.4, 26.54266, 27.32772, 0.7850609, 1
9770, BL, 0, 8, 10:57:07.339, 32.0941, -2.707, -0.044, Blue, Left, 0.4, 31.19348, 32.0941, 0.9006176, 1
9770, BL, 0, 9, 10:57:11.691, 36.44521, -0.017, 2.800, Red, Top, 2, 35.55931, 36.44521, 0.8859062, 1
9770, BL, 0, 10, 10:57:14.322, 39.07693, 2.773, -0.009, Blue, Right, 0.4, 38.26007, 39.07693, 0.8168602, 1
